id,N0,Linf,K,q,sigma,nLL,delta
90,18.0213511448612,194.642513534693,0.252520057299932,4.38603433799258e-05,19.7283135772747,Inf,Inf
92,20.8212266342441,147.732112680267,0.0360425065563339,2.21620064911208e-05,10.7563285873295,Inf,Inf
97,6.03343407990161,208.048613740032,0.0246065156931619,2.97661884698068e-05,8.37941207674419,Inf,Inf
99,11.7555336566704,177.459246762819,0.26424141046322,3.01588575664116e-05,10.4523052172028,Inf,Inf
100,3.12026637193689,179.957440404332,0.456681939809883,1.9789886271424e-05,17.1972424984926,Inf,Inf
40,23.8730116981741,175.395255738718,0.406201678863971,3.35148119676501e-05,1.28821513363139,NaN,NaN
52,78.9472623013229,162.085713121399,0.241479527258935,1.06027806757118e-05,0.362507748065536,NaN,NaN
61,16.3283976944357,148.528920292112,0.304956040598481,2.71063158908264e-05,12.5750617159941,NaN,NaN
73,29.3874730081231,135.543599204803,0.473913325140323,4.07331251417303e-05,19.0827148963013,NaN,NaN
84,65.092722269483,201.110318441077,0.440490664118746,2.55253127582779e-05,6.19393790980661,NaN,NaN
88,1.71316356325346,204.348958036093,0.0114959374045104,3.59711766698297e-05,6.30886196891581,NaN,NaN
